CENTLAT,CENTLON,NAME
40.103065,-74.0378191,Coast Guard Station Manasquan Bch
44.2503461,-86.3416373,Coast Guard Station Manistee
41.5434874,-82.731059,Coast Guard Station Marblehead
46.5466341,-87.3772835,Coast Guard Station Marquette
43.0021713,-87.8884791,Coast Guard Station Milwaukee
41.0695856,-71.9337256,Coast Guard Station Montauk
36.6089972,-121.8969006,Coast Guard Station Monterey
40.7896971,-72.7479439,Coast Guard Station Moriches
41.272365,-72.9029716,Coast Guard Station New Haven
41.3456711,-72.0937733,Coast Guard Station New London
29.9661909,-90.0273232,Coast Guard Station New Orleans
37.7823333,-122.249642,Coast Guard Station Oakland
35.7964218,-75.5500567,Coast Guard Station Oregon Inlet
43.4629126,-76.5158785,Coast Guard Station Oswego
30.1699477,-85.7554366,Coast Guard Station Panama City
29.0647321,-80.915225,Coast Guard Station Ponce de Leon
43.0053733,-82.4231836,Coast Guard Station Port Huron
36.8826819,-76.3591879,Coast Guard Station Portsmouth
26.5319834,-97.8331769,Coast Guard Station Raymondville
38.1456332,-121.6940432,Coast Guard Station Rio Vis
37.8102521,-122.3628758,Coast Guard Station San Francisco
18.4607782,-66.1171773,Coast Guard Station San Juan
40.4711285,-74.0102971,Coast Guard Station Sandy Hook
46.4863974,-84.4138696,Coast Guard Station Sault Saint Marie (Housing Area)
46.4999278,-84.338834,Coast Guard Station Sault Sainte Marie
47.5892506,-122.3401828,Coast Guard Station Seattle
40.849219,-72.5034567,Coast Guard Station Shinnecock
44.2750237,-68.3123494,Coast Guard Station Southwest Harbor
39.3369666,-76.1307242,Coast Guard Station Stillpond
44.7949209,-87.3134575,Coast Guard Station Sturgeon Bay
44.2541329,-83.4492809,Coast Guard Station Tawas
43.6818237,-124.1773562,Coast Guard Station Umpqua River
44.6257973,-124.0570664,Coast Guard Station Yaquina Bay
38.9452219,-74.8833295,Coast Guard Training Center Cape May
38.2498679,-122.7896975,Coast Guard Training Center Petaluma
33.64131,-88.4510932,Columbus AFB
41.0791905,-96.3361749,Cp Ashland
39.2948048,-86.0469774,Cp Atterbury
31.4393238,-92.2955232,Cp Beauregard
29.6890508,-98.5608775,Cp Bullis
37.8202552,-94.2915885,Cp Clark
39.4353616,-79.6205593,Cp Dawson
39.4216804,-79.704517,Cp Dawson
39.4501771,-79.6695344,Cp Dawson
39.3792178,-79.6838575,Cp Dawson
39.3976617,-79.6540988,Cp Dawson
39.4049368,-79.7034243,Cp Dawson
41.6155367,-71.499157,Cp Fogarty
41.6093068,-71.4940772,Cp Fogarty
47.7711747,-98.7158707,Cp Grafton
44.592345,-84.7568289,Cp Grayling
44.6127719,-84.8702494,Cp Grayling
44.7223399,-84.6616579,Cp Grayling
44.7129185,-84.6896408,Cp Grayling
44.6462439,-84.89814,Cp Grayling
44.5887451,-84.7669532,Cp Grayling
44.7772018,-84.5604587,Cp Grayling
35.7009381,-95.1675404,Cp Gruber
42.2130578,-104.8021267,Cp Guernsey
42.2752484,-104.7301638,Cp Guernsey
42.2678444,-104.7161791,Cp Guernsey
42.2757209,-104.7155391,Cp Guernsey
42.3011748,-104.8328962,Cp Guernsey
42.2600927,-104.7319942,Cp Guernsey
42.3345473,-104.945709,Cp Guernsey
42.337099,-104.9234649,Cp Guernsey
42.3519349,-104.9309537,Cp Guernsey
42.2975794,-104.8377117,Cp Guernsey
42.4019449,-104.8131406,Cp Guernsey
42.3156028,-104.8331908,Cp Guernsey
21.3865465,-157.9056753,Cp H M Smith
44.5092178,-73.1636384,Cp Johnson
34.8999092,-92.3067556,Cp Joseph T Robinson
30.3186185,-97.7614988,Cp Mabry
35.030124,-79.4815342,Cp Mackall
33.7990859,-95.5602963,Cp Maxey
33.7108287,-89.6858472,Cp McCain Training Center
32.5587253,-93.3942006,Cp Minden Training Site
47.1166826,-122.5685401,Cp Murray
35.1948627,-111.8504477,Cp Navajo
41.3313899,-72.1879102,Cp Niantic
41.5421759,-83.0215869,Cp Perry Training Site
41.1972098,-81.0847358,Cp Ravenna Joint Military Training Center
46.2916448,-94.4893776,Cp Ripley
46.2883169,-94.5461479,Cp Ripley
46.3024384,-94.4924331,Cp Ripley
46.1742914,-94.5113387,Cp Ripley
46.2901688,-94.5068363,Cp Ripley
